,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit
1899,2,12,critical account/other credits elsewhere,others,1995,... <  100 DM,1,0,male : married/widowed,none,0,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
1900,2,12,all credits at this bank paid back duly,others,1995,unknown/no savings account,1,0,male : divorced/separated,none,3,building soc. savings agr./life insurance,27,none,for free,1,skilled employee/official,0 to 2,no,no,0
1901,2,72,all credits at this bank paid back duly,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,for free,1,skilled employee/official,0 to 2,no,no,0
1902,2,12,critical account/other credits elsewhere,others,1995,unknown/no savings account,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,rent,5-Apr,skilled employee/official,0 to 2,no,no,0
1903,2,16,delay in paying off in the past,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,for free,1,skilled employee/official,0 to 2,no,no,0
1904,2,60,no credits taken/all credits paid back duly,car (used),959,... >= 1000 DM,2,3,female : non-single or male : single,co-applicant,0,unknown / no property,33,bank,for free,1,unskilled - resident,0 to 2,no,no,0
1905,2,15,no credits taken/all credits paid back duly,car (used),745,... >= 1000 DM,3,3,female : non-single or male : single,none,0,unknown / no property,33,bank,own,5-Apr,skilled employee/official,0 to 2,no,no,0
1906,1,42,no credits taken/all credits paid back duly,car (used),2186,100 <= ... <  500 DM,3,1,female : non-single or male : single,none,0,unknown / no property,33,stores,for free,1,unskilled - resident,0 to 2,no,no,0
1907,3,28,no credits taken/all credits paid back duly,car (used),5743,... >= 1000 DM,0,3,female : non-single or male : single,none,0,car or other,33,bank,for free,1,skilled employee/official,0 to 2,no,no,0
1908,2,15,critical account/other credits elsewhere,car (used),2186,500 <= ... < 1000 DM,3,3,female : non-single or male : single,none,0,car or other,67,bank,own,1,unskilled - resident,3 or more,no,no,0
1909,0,24,critical account/other credits elsewhere,repairs,1927,... <  100 DM,2,1,female : non-single or male : single,none,2,real estate,33,none,own,3-Feb,skilled employee/official,0 to 2,no,no,0
1910,2,24,delay in paying off in the past,repairs,1927,... >= 1000 DM,1,1,female : non-single or male : single,co-applicant,2,building soc. savings agr./life insurance,33,none,own,3-Feb,skilled employee/official,3 or more,yes (under customer name),no,0
1911,1,21,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,male : divorced/separated,none,2,real estate,35,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1912,1,21,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,35,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1913,2,39,critical account/other credits elsewhere,repairs,1927,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1914,1,39,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,0
1915,1,60,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,0
1916,1,47,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
1917,1,48,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,67,none,rent,1,skilled employee/official,0 to 2,no,no,0
1918,1,45,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,56,none,rent,1,skilled employee/official,0 to 2,no,no,0
